,id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count
0,12579,,TRUSTEES OF THE MISSOURI BOTANICAL GARDEN,banquet ,PROF;.?,"SOUTHERN HOTEL,ST. LOUIS,MO.",BROADSIDE; ILLUS; 5.5 X 8.75;,  ANNUAL  ,WINES LISTED FOR EACH COURSE;,1900-2627,,,1900-03-31,Trustees Of The Missouri Botanical Garden,,,,complete,2.0 pages,22.0 dishes
1,25121,,HOLLAND HOUSE,LUNCHEON,COMMERCIAL.?,,card;6x8.75;,  DAILY;  ,"ENGLISH ON ONE SIDE,FRENCH ON ONE SIDE;",1900-517,,,1900.01.25,Holland House,,Dollars,$,complete,2.0,546.0
2,21960,,[battery park hotel],CHRISTMAS DINNER,COMMERCIAL,"ASHVILLE, NC",booklet; illus; col; 6 x 8;,RELIGIOUS HOLIDAY,PRINTED ON PARCHMENT-LIKE PAPER; RED LION; DRAWING OF HOTEL; TIED WITH TWINE AND SEALING WAX; MOST OF BOOKLET CONSISTS OF INFORMATION AND PRAISE ABOUT THE HOTEL;,1898-432,,,1898-12-25,Battery Park Hotel,,,,complete,16.0 pages,28.0 dishes
3,14523,,[usms],BREAKFAST,GOVT;.?,SS ST PAUL,card;illus;col;4x6.25;,DAILY;, FLAG; ,1901-1304,,,1901-05-15,Usms,,None,,complete,2.0 pages,23.0 dishes
4,29808,,[Southern Pacific],,,,21.5x14cm folded; 21.5x28cm open,,,1946-0037_wotm,,,01-01-1946,Southern Pacific,,Dollars,$,complete,4.0,78.0 dishes
5,23754,,HOLLAND SOCIETY,FOURTH ANNUSL DINNER,PATR;.?,HOTEL BRUNSWICK [NY?],FOLDER; ILLUS; 8.75X12;,[SOC?], DUTCH; TOASTS; WINDMILL AND MILKMAID; SAILINGSHIP AND SEAL; TWO COPIES; ,1889-004,,,1889-01-08,Holland Society,,n/a,,complete,4.0 pages,55.0
6,33905,Spilker's Restaurant and Grill Room,[Spilker's Restaurant and Grill Room],,,,28x17.5cm folded; 28x35cm open,,,1914-0606_wotm,,,1914-06-09,Spilker's Restaurant and Grill Room,,Dollars,$,complete,4.0,383.0 dishes
7,35176,Adams' Restaurant,[Adams' Restaurant],,,,,,Portolá ‚anquet,1913-0404_wotm,,,1913.04.25,Adams' Restaurant,,Dolars,$,complete,5.0 pages,416.0 dishes
8,28580,,Amy's,,,,22x9cm folded; 22x36cm open,,,1985-0016_wotm,,,1985-01-01,Amy's,,Dolars,$,complete,3.0 pages,60.0
9,28250,,[S.S. Nieuw Amsterdam],,,,29x21cm folded; 29x42cm open,,,1965-0062_wotm,,,07-07-1965,S.S. Nieuw Amsterdam,,,,complete,4.0 pages,34.0
10,25261,,[ISMALIA TEMPLE],LUNCHEON TENDERED IMPERIAL COUNCIL,POL;,"CATARACT HOUSE,NIAGARA FALLS,NY",BROADSIDE; ILLUS; COL; 4.5 X 6.5;,COMPLIMENTARY/TESTIMONIAL,,1899-476,,,1899-06-16,Ismalia Temple,,n/a,,complete,2.0 pages,20.0 dishes
11,27147,,Seaboard Railway,lunch and dinner,RAILROAD,,7 1/2 x 5 in.,,"Features : ""Low Priced Meal Service.""",Soete 130,,,,Seaboard Railway,,n/a,,complete,1.0,6.0 dishes
12,27163,,western pacific,breakfast,RAILROAD,The Feather River Route,9 x 6 1/2 in. fold. ; ill.,,General Passenger Agent : J. L Scott. Superintendent Dining Cars : W. P. Stiles.,Soete 176,,,1938-04-13,Western Pacific,,Dollars,$,complete,4.0,78.0 dishes
13,33877,Wiehl & Widman,wiehl & widman,,,,43x23cm,,fragile,1914-0578_wotm,,,1914-06-08,Wiehl & Widman,,Doller,$,complete,2.0 pages,227.0 dishes
14,26299,,ASTOR HOUSE,DINNER,COMMERCIAL,NEW YORK,folder; illus; 7 x 10;,DINNER,PRICED MENU AND WINE LIST; ILLUS. OF HOTEL; CAUTIONARY NOTE ABOUT CHECKING PRICES ON CHECK WITH MENU;,1900-061,,,1900-01-06,Astor House,,Dollers,$,complete,4.0 pages,479.0 dishes
15,24382,,[?],banqu3t,SOCIAL.?,COPENHAGEN,broadside; 3.75 x 5.75;,?,MENU IN DANISH;,1898-028,,,1898-01-14,?,,unknown,,complete,2.0 pages,13.0
16,22110,,SPRINGFIELD CALEDONIANS,15NTH BURNS ANNIVERSARY,SOCIAL,HOTEL WORTHY,booklet; illus; 4.25 x 6.5;,ANNIVERSARYERSARY,COMPLETE PROGRAM LISTED;COMMITTEE MEMBERS INCLUDED;,1898-057,,,01/25/1898,Springfield Caledonians,,N/A,,complete,8.0 pages,19.0 dishes
17,29494,,[Casina Delle Rose & Lucciola],,,,27x19.5cm folded; 27x39cm open,,,1955-0041_wotm,,,1955-01-01,Casina Delle Rose & Lucciola,,Italian Lire,L,complete,6.0 pages,188.0 dishes
18,30534,,[Hotel St. Regis],,,,13x9cm folded; 13x16.5cm open,,National Association of Book Publishers,1937-0008_wotm,,,01/20/1937,Hotel St. Regis,,,,complete,2.0,8.0
19,34398,Copley Plaza,Copley Plaza,,,,20.5x12.5cm folded; 20.5x25cm open,,Massachusetts Bankers Association,1913-0021_wotm,,,1913-01-08,Copley Plaza,,N/A,,complete,5.0,17.0 dishes
20,15818,,,,,,,,,,,,08/16/1900,Nippon Yusen Kaisha,,unknown,,complete,2.0 pages,23.0 dishes
21,29745,,University Of Richmond,,,,20.5x13.5cm folded; 20.5x27.5cm open,,In honor of fifty years of distinguished service of Frederic Williams Boatwright,1945-0005_wotm,,,1945-01-01,University Of Richmond,,,,complete,11.0,12.0
22,32912,The New Mills Hotel,The New Mills Hotel,,,,16x12cm folded; 16x24cm open,,,1917-0652_wotm,,,1917-11-23,The New Mills Hotel,,Dolars,$,complete,4.0,67.0
23,34038,[Restaurant name and/or location not given],[[restaurant name and/or location not given]],,,,22x11cm,,,1914-0741_wotm,,,1914-07-12,[Restaurant name and/or location not given],,Dolars,$,complete,1.0,47.0 dishes
24,33189,Louis Sherry,[Louis Sherry],,,,26.5x15.5cm folded; 26.5x31cm open,,,1917-0939_wotm,,,12/15/1917,Louis Sherry,,Dollars,$,complete,5.0 pages,201.0 dishes
25,14250,,SUMMIT HOUSE,DINNER,COMMERCIAL,"MOUNT WASHINGTON, NH",card; 4.5x7;,  DAILY;  ,,1901-2194,,,08/23/1901,Summit House,,N/A,,complete,2.0 pages,43.0 dishes
26,32522,The Mouquin Restaurant and Wine Co.,The Mouquin Restaurant and Wine Co.,,,,35.5x19.5cm folded; 35.5x39cm open,, breakfast ,1918-0119_wotm,,,1918-01-20,The Mouquin Restaurant and Wine Co.,,Doller,$,complete,3.0 pages,172.0
27,24151,,DETROIT BOARD OF COMMERCE,SECOND ANNUAL DINNER,COMMERCIAL,"DETROIT, MI",BOOKLET; ILLUS; COL; 6.75X10.25;,  ANNIVERSARY;  ,"MENU IN FRENCH; LISTS MANHATTAN COCKTAILS AND WINES SERVED WITH INDIVIDUAL COURSES; INCLUDES PHOTOGRAPH OF GUEST OF HONOR, HON. WILLIAM H. TAFT, SECRETARY OF WAR; PHOTOGRAPH OF MR. TAFT INCLUDED; MUSIC PROGRAMME; TOASTS; OFFICERS AND COMMITTEES LISTED; SE",1906-192,,,02/19/1906,Detroit Board Of Commerce,,n/a,,complete,14.0,27.0
28,33790,Hotel Belvedere,[Hotel Belvedere],,,,18x12.5 cm folded; 18x25cm open,,Traffic Club of Baltimore,1914-0247_wotm,,,1914-02-17,Hotel Belvedere,,,,complete,4.0,19.0 dishes
29,32971,[Restaurant name and/or location not given],[[Restaurant name and/or location not given]],,,,24x15cm,,,1917-0711_wotm,,,1917-11-28,[Restaurant name and/or location not given],,Dollars,$,complete,1.0,22.0 dishes
30,22365,,[the portland],THANKSGIVING DINNER,COM,"PORTLAND, OREGON",booklet; ill; 5.25x6.75,SECULAR HOLIDAY, FASTENED AT LEFT BY RIBBON ,1891-121,,,11/01/1891,The Portland,,null,,complete,8.0 pages,55.0 dishes
31,27130,,Southern Pacific,breakfast,RAILROAD,"The Beaver, Southern Pacific",8 1/2 x 5 1/2 in. fold. ; ill. col.,,"Photographic illustration : Mile-High Lake Tahoe. Manager : Harry A. Butler Includes ""Select"" and a la carte menu options. Insert : ""Economy Breakfast.""",Soete 101,,,1941.11.01,Southern Pacific,,Dollars,$,complete,4.0 pages,92.0 dishes
32,31432,,[The Mayflower Hotel],,,,23x16cm folded; 23x32cm open,,Democratic National Committee,1932-0001_wotm,,,1932-01-08,The Mayflower Hotel,,unknown,,complete,4.0 pages,14.0 dishes
33,12783,,[colonial hotel],MENU,COMMERCIAL.?,"NEW YORK, NY",FOLDER; ILLUS; 6.25X10;,,"[DATE HANDWRITTEN]; MANY ADDITIONAL ITEMS TO MENU HANDWRITTEN; ""CREAM WITH TEA, COFFEE, ETC.,FIVE CENTS EXTRA;"" ILLUSTRATION OF HOTEL ON COVER;",1900-1015,,,1900-02-12,Colonial Hotel,,Dolars,$,complete,4.0,378.0
34,23099,,[WOODSTOCK INN],BREAKFAST MENU,COMMERCIAL,"WOODSTOCK, VT",BROADSIDE; 4.5X6.5;,,,1894-079,,,1894.08.29,Woodstock Inn,,None,,complete,2.0 pages,34.0 dishes
35,23580,,HAMBURG-AMERIKA LINIE,ZWEITES FRUHSTUCK,COMMERCIAL,"SCHNELLDAMPFER ""AUGUSTE VICTORIA""",CARD; ILLUS; COL; 5X8;,,"GERMAN & ENGLISH; ILLUSTRATION OF STEAMER, GODDESS OF FOOD, DECORATIVE VINES & FRUITS;",1901-814,,,1901-04-01,Hamburg Amerika Linie,,null,,complete,2.0 pages,26.0
36,26460,,[yamato],,RESTAURANT.?,Yamato,Booklet; 11 x 13.25 inches,,Dieter Zander Collection; descriptions of Japanese dishware; includes insert with late supper menu.,Zander 128,,,,Yamato,,Doller,$,complete,12.0 pages,93.0
37,27437,,RED STAR LINE,DINNER (?),SS; FOR,ON BOARD THE SS VADERLAND,card; illus; col; 5.5 x 7.75,  OTHER (DAILY MENU)  , ILLUS OF WOMEN AT DOCK; DESIGNED TO BE USED AS POSTCARD; IN ENGLISH ONLY; POSTAL RATES FOR VARIOUS PORTS GIVEN; SIMPLE MENU ,1910-912,,,1910-03-17,S.S. Vaderland,,None,,complete,2.0,9.0 dishes
38,29986,,The Brass Rail,,,,38x25.5cm folded; 38x51cm open,,,1949-0076_wotm,,,23-12-1949,The Brass Rail,,Dollars,$,complete,4.0,430.0 dishes
39,30022,,Comstock Room Of The Palace Hotel,,,,24x16cm folded; 24x31.5cm open,,,1948-0029_wotm,,,03/16/1948,Comstock Room Of The Palace Hotel,,unknown,,complete,4.0 pages,14.0 dishes
40,32463,Healy's Forty-second Street Restaurant,Healy's Forty-second Street Restaurant,,,,33x18cm,,,1918-0069_wotm,,,1918-01-15,Healy's Forty-second Street Restaurant,,Dollars,$,complete,2.0 pages,226.0
41,31097,,[The Commodore Hotel],,,,19.5x14cm,, grill room luncheon ,1933-0199_wotm,,,18-05-1933,The Commodore Hotel,,N/A,,complete,1.0 pages,25.0
42,17273,,,,,,,,,,,,1900.08.22,Nippon Yusen Kaisha,,,,complete,2.0 pages,14.0 dishes
43,12527,,CUNARD LINE,DINNER,COMMERCIAL,"R.M.S. ""CAMPANIA""",card; illus; col; 4.5x6.5;,OTHER (DAILY);,"PRICED WINE, TOBACCO LIST ON BACK; CUNARD STEAMSHIP CO. FLAG AT TOP;",1900-2140,,,26-02-1900,Cunard Line,,None,,complete,2.0,93.0
44,25566,,NORDDEUTSCHER LLOYD BREMEN,FRUHSTUCK,COMMERCIAL,"SCHNELLDAMPFER ""HOHENZOLLERN""",card; illus; col; 5.25x8;,,GERMAN & ENGLISH; ILLUSTRATION OF STEAMSHIP IN HARBOUR SURROUNDED BY SMALLER VESSELS;,1901-950,,,04/18/1901,Norddeutscher Lloyd Bremen,,None,,complete,2.0 pages,75.0
45,20249,,hamburg-amerika linie,LUNCH,COMMERCIAL.?,EN ROUTE ABOARD FURST BISMARCK,card; illus; col; 5 x 8;,,MENU IN GERMAN ONLY; ILLUSTATION OF SHIP AND WOMAN IN CLASSICAL DRESS WITH SHIELD SAYING HAPAG;,1901-1701,,,1901-06-20,Hamburg Amerika Linie,,,,complete,2.0 pages,11.0 dishes
46,22779,,[THE PENNSYLVANIA BAR ASSOCIATION ON BEHALF OF THE BAR OF THE COMMONWEALTH],banuqet,PROF;,"HORTICULTURAL HALL, PHILADELPHIA, PA",booklet; illus; col; 7x8.75;,  COMPLIMENTARY/TESTIMONIAL  ,"WINES LISTED; DRAWINGS AND QUOTES THROUGHOUT; PHOTO OF MR. MITCHELL AND DATES PERTINENT TO HIS LIFE LISTED; TOASTS, MUSIC AND PARTICIPANTS LISTED;",1907-997,,,1907-11-23,The Pennsylvania Bar Association On Behalf Of The Bar Of The Commonwealth,,n/a,,complete,20.0 pages,29.0
47,34189,Ye Olde Dutch Tavern,Ye Olde Dutch Tavern,,,,28x18cm,,,1914-0891_wotm,,,1914-09-01,Ye Olde Dutch Tavern,,Dollars,$,complete,2.0,218.0 dishes
48,28340,,[topside],,,,10x15cm folded; 29x15cm open,,,1982-0001_wotm,,,1982-07-27,Topside,,Dolars,$,complete,3.0 pages,97.0 dishes
49,29900,,[The Maplewood],,,,26.5x17.5cm,,,1948-0058_wotm,,,1948-08-27,The Maplewood,,n/a,,complete,2.0 pages,33.0 dishes
50,35356,Adam's Restaurant,[Adam's Restaurant],,,,,, Domestic Science at Hampton ,1913-0584_wotm,,,1913-06-23,Adam's Restaurant,,Doller,$,complete,4.0 pages,22.0 dishes
51,20904,,TOYO KISEN KAISHA,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,broadsheet; illus; 6.5 x 7.75;,,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-4487,,,1900-09-26,Toyo Kisen Kaisha,,N/A,,complete,2.0 pages,37.0
52,17067,,[NORDDEUTSCHERRR LLOYD BREMEN],BREAKFAST,COMMERCIAL.?,"SS ""FRIEDRICH DER GROSSE""",CARD; ILLUS; COL; 5.25X8;,,"GERMAN & ENGLISH; ILLUSTRATIONS OF SEA SCENE WITH MANY SHIPS, ALSO A TABLE SET WITH TANKARD, WINEGLASSES, WINE BOTTLE, LOBSTER; CARD ALSO A POSTCARD;",1901-1679,,,1901-06-18,Norddeutscherrr Lloyd Bremen,,N/A,,complete,2.0 pages,68.0 dishes
53,26336,,LONGFELLOW CENTENARY,DINNER,SOC;.?,"NATIONAL ARTS CLUB, NEW YORK, NY",CARD; COL; 4.5X7;,COMPLIMENTARY/TESTIMONIAL, BUFF STOCK; ,1907-276,,,27-02-1907,Longfellow Centenary,,,,complete,2.0 pages,13.0 dishes
54,35060,Gardner & Smith,[gardner & smith],,,,,,The Mendelssohn Glee Club,1913-0288_wotm,,,1913-03-14,Gardner & Smith,,Dolars,$,complete,4.0,298.0 dishes
55,33085,Fifth Avenue Restaurant,[fifth avenue restaurant],,,,26.5x20.5cm folded; 26.5x41cm open,,,1917-0578_wotm,,,1917-11-20,Fifth Avenue Restaurant,,Dollars,$,complete,3.0 pages,125.0 dishes
56,13714,,TOYO KISEN KAISHA - HING KONG MARU,BREAKFAST,COM,EN ROUTE,"FOLDER; ILLUS, COVER;3 X 7.75;",,,1900-4638,,,1900.10.09,Toyo Kisen Kaisha   Hing Kong Maru,,,,complete,2.0,24.0
57,24824,,[NORWEGIAN GOVERNMENT],DINNER TO QUEEN ALEXANDRE & PRINCESS VICTORIA OF RUSSIA,GOV;,"PALAIS ROYAL - CHRISTIANIA,NORWAY",CARD;ROYAL EMBLEM;3X5;,COMPLIMENTARY/TESTIMONIAL,MENU IN FRENCH;,1907-752,,,1907-08-24,Norwegian Government,,,,complete,2.0 pages,11.0
58,14425,,[TWENTIETH CENTURY ALDERMANIR ASSOCIATION],DINNER,SOC;,"COPLEY SQUARE HOTEL, BOSTON, MA",FOLDER; 4X6;,  COMPLIMENTARY/TESTIMONIAL  ,,1907-1051,,,1907-12-07,Twentieth Century Aldermanir Association,,null,,complete,4.0 pages,18.0 dishes
59,33147,John Wanamaker,[John Wanamaker],,,,25.5x17.5cm,,,1917-0897_wotm,,,1917-12-11,John Wanamaker,,Doller,$,complete,1.0,43.0 dishes
60,30386,,United States Senate Office Building Restaurant,,,,28x20.5cm,,,1940-0050_wotm,,,1940-03-30,United States Senate Office Building Restaurant,,Doller,$,complete,1.0 pages,90.0 dishes
61,29254,,toots shor,,,,35x25.5cm folded; 35x51cm open,,,1954-0030_wotm,,,14-04-1954,Toots Shor,,Dollars,$,complete,4.0 pages,151.0 dishes
62,26846,,[restaurant konighof],,RESTAURANT,Restaurant Konighof,Folder; 5 x 8 inches,,Dieter Zander Collection.,Zander 318 undated,,,,Restaurant Konighof,,,,complete,2.0,7.0
63,23890,,[hamburg-amerika linie],"DAILY MENU, DINNER",COMMERCIAL,"ON BOARD ""KAISERIN AUGUSTE VICTORIA""",broadside; col; 8.5x12.5;,,"""THIS WAS OBTAINED ON BOARD THE 'KAISERIN AUGUSTE VICTORIA' 18, JULY, 1906 BUTTOLPH"" WRITTEN ON BACK; RITZ CARLTON RESTAURANT PRICED MENU; MENU IN FRENCH;",1906-576,,,1906-07-14,Hamburg Amerika Linie,,Deutsche Marks,DM,complete,2.0 pages,65.0 dishes
64,27374,,[Park Lane],dinner,RESTAURANT,Park Lane; Park Lounge,broadside; 7.75 x 12.25 inches,SECULAR HOLIDAY," Baratta collection; wine suggestions; couvert $8.00 per person; music by Jan Schaff; ""Service from Noon Onward In The Park Lounge""; color (red, gold) ",Baratta 83,,,1963-11-28,Park Lane,,Dollers,$,complete,1.0 pages,38.0
65,24304,,[FRATERNAL UNION OF ANOINTED HIGH PRIESTS OF THE STATE OF NEW YORK],banuqet,SOC;,"RICCADONNA'S, NEW YORK, NY",FOLDER; ILLUS;4.5X5.5;,ANNIVERSARY;, DECORATED WITH GOLD LEAVES AND MENU EMBOSSED; INCLUDES OFFICERS AND DETAILS OF PROGRAM ,1893-073,,,1893-06-05,Fraternal Union Of Anointed High Priests Of The State Of New York,,unknown,,complete,4.0,22.0 dishes
66,19841,,[HAMBURG-AMERIKA LINIE],LUNCH,COMMERCIAL.?,EN ROUTE ABOARD SCNELLDAMPFER (EXPRESS STEAMER) AUGUSTE VICTORIA,CARD; ILLS; 5 X 8;,, GERMAN AND ENGLISH; WOMAN IN CLASSICAL DRESS HOLDING SHIELD WITH INITIALS  H.A.P.A.G.; STEAMER; FRUITS; ,1900-2593,,,03/28/1900,Hamburg Amerika Linie,,N/A,,complete,2.0 pages,26.0 dishes
67,33173,The Biltmore,[The Biltmore],,,,28x18cm folded; 28x36cm open,,,1917-0923_wotm,,,1917-12-14,The Biltmore,,Doller,$,complete,4.0,170.0 dishes
68,12993,,[PENNSYLVANIA RAILROAD],PERSONALLY CONDUCTED TOUR THROUGH MEXICO & CALIFORNIA,COMMERCIAL,"PULLMAN, EN ROUTE",CARD; 5.25X7;,,,1900-1086,,,1900-02-15,Pennsylvania Railroad,,null,,complete,2.0 pages,26.0 dishes
69,30175,,[Waldorf Astoria],,,,23.5x15.5cm folded; 23.5x31cm open,,Metropolitan Life Insurance Company,1939-0127_wotm,,,05/24/1939,Waldorf Astoria,,,,complete,22.0,17.0 dishes
70,35148,Hanover Lunch,[Hanover Lunch],,,,,,Brownsville Board of Trade,1913-0376_wotm,,,1913.04.17,Hanover Lunch,,Drachmas,Drs.,complete,2.0,69.0
71,28552,,[R.M.S. Parthia],,,,16.5x21cm folded; 16.5x42cm open,,,1957-0090_wotm,,,1957-09-06,R.M.S. Parthia,,unknown,,complete,3.0,70.0 dishes
72,20862,,[NIPPON YUSEN KAISHA],DINNER,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,broadsheet; illus; col; 10.5 x 9.5;,, HANDWRITTEN; ILLUSTRATION OF CHILDREN CARRYING LANTERNS AND DRUM; MAP OF STEAMSHIP ROUTES ON BACK; ,1900-4198,,,1900-08-30,Nippon Yusen Kaisha,,unknown,,complete,2.0 pages,20.0 dishes
73,31437,,[Hotel Brevoort],,,,46x15cm,,The Dickens Fellowship,1932-0006_wotm,,,06-02-1932,Hotel Brevoort,,null,,complete,1.0,13.0 dishes
74,29984,,[[restaurant and/or location not given]],,,,25x19cm folded; 25x38cm open,,,1949-0074_wotm,,,12/24/1949,[Restaurant And/Or Location Not Given],,,,complete,2.0 pages,50.0 dishes
75,32747,Hotel Imperial,Hotel Imperial,,,,28x18cm,,,1917-0484_wotm,,,1917-11-15,Hotel Imperial,,Dollers,$,complete,2.0,113.0
76,30956,,hotel majestic,,,,19x12cm,,,1938-0184_wotm,,,1938-12-15,Hotel Majestic,,,,complete,1.0 pages,20.0 dishes
77,20197,,[NIPPON YUSEN KAISHA],TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,BROADSIDE; 5.5 X 7.75;,DAILY,HANDWRITTEN; RED BORDER;,1900-4668,,,10/11/1900,Nippon Yusen Kaisha,,unknown,,complete,2.0 pages,12.0 dishes
78,32375,Healy's Forty-second Street restaurant,[healy's forty-second street restaurant],,,,33x18cm,,dinner,1918-0251_wotm,,,19-02-1918,Healy's Forty-second Street restaurant,,Dollars,$,complete,2.0 pages,311.0
79,33159,Waldorf Astoria,[waldorf astoria],,,,23x17.5cm folded; 23x35cm opened,,,1917-0909_wotm,,,1917-12-12,Waldorf Astoria,,Dollars,$,complete,4.0,186.0 dishes
80,28244,,S.S. Nieuw Amsterdam,,,,34x21cm,,,1965-0056_wotm,,,03-07-1965,S.S. Nieuw Amsterdam,,unknown,,complete,1.0 pages,114.0 dishes
81,31473,,"[T.N. ""Conte Di Savoia""""""]",,,,20x14cm folded; 20x28cm open,,,1932-0042_wotm,,,17-12-1932,"T.N. ""Conte Di Savoia""""""",,n/a,,complete,4.0 pages,48.0
82,14836,,,,,,,,,,,,1900.04.08,Master Printers' Association,,,,complete,2.0,30.0
83,27911,,The Four Seasons,,,,22x14cm folded; 22x28cm open,,,1973-0019_wotm,,,01/17/1973,"The Wine And Food Society, Incorporated, New York",,null,,complete,4.0 pages,13.0 dishes
84,12482,,NOVIOMAGUS,DINNER,,"FREEMASONS' TAVERN, [LONDON, ENGLAND]",card; 4.25x6.25;,,FRENCH; [LOCATION INFO HANDWRITTEN ON BACK OF MENU];,1900-2856,,,18-04-1900,Noviomagus,,N/A,,complete,2.0 pages,16.0 dishes
85,19715,,HOTEL MARIE ANTOINETTE,LUNCHEON,COMMERCIAL,66TH STREET AND BROADWAY [NY],CARD;4.75 X 7.5;,, PRICED MENU; ,1900-2193,,,1900-02-27,Hotel Marie Antoinette,,Dollars,$,complete,2.0,81.0
86,16941,,STATLER'S HOTEL AND RESTAURANT,DINNER,COMMERCIAL,"ELLICOTT SQUARE, BUFFALO, NY",card; col; illus; 5.75 x 8;,,GREEN ILLUSTRATION OF HOTEL AND BUFFALO EXPOSITION (?);,1901-1813,,,02-07-1901,Statler's Hotel And Restaurant,,N/A,,complete,2.0 pages,23.0
87,35307,Plaza,[Plaza],,,,,,The Chironian,1913-0535_wotm,,,1913-05-29,Plaza,,None,,complete,8.0 pages,16.0 dishes
88,28851,,[Holland America Cruises],,,,28x21.5cm folded; 28x43 open,,,1987-0084_wotm,,,01-01-1987,Holland America Cruises,,Dollars,$,complete,3.0 pages,45.0
89,32703,Delmonicos,delmonicos,,,,30.5x22cm,, menu also printed in French ,1917-0441_wotm,,,1917-11-13,Delmonicos,,Dollars,$,complete,2.0,254.0 dishes
90,23366,,SOCIETY SONS OF THE REVOLUTION IN THE STATE OF MISSOURI,FIRST ANNUAL BANQUET,PATR;,"MERCANTILE CLUB HOUSE, ST. LOUIS MO",CARD FOLDER; ILLUS; COL; 4.25 X 5.5;,OTHER (ANNIV),"PORTRAIT OF WASHINGTON, BLUE; GOLD LAUREL WREATH; FRENCH; TWO COPIES;",1895-043,,,22-02-1895,Society Sons Of The Revolution In The State Of Missouri,,N/A,,complete,6.0,12.0 dishes
91,22600,,[COEUR DE LION CAMMANDERY NUMBER TWENTY-THREE KNIGHTS TEMPLAR],banquuet,SOC;,NEW YORK,FOLDER; ILLUS; 6 X 9;,COMPLIMENTARY/TESTIMONIAL,COURSES CHOSEN TO ILLUSTATION VARIOUS AREAS OF THE U.S.; SMALL SKETCHES; SKETCH OF EDWIN C. HALL;,1907-065,,,1907-01-11,Coeur De Lion Cammandery Number Twenty Three Knights Templar,,,,complete,8.0,18.0 dishes
92,25930,,ASTOR HOUSE,DINNER,COMMERCIAL,NEW YORK,FOLDER; ILLUS; 7 X 10;,DINNER, PRICED MENU AND WINE LIST; ILLUS. OF HOTEL; CAUTIONARY NOTE ABOUT CHECKING PRICES ON CHECK WITH MENU; ,1900-062,,,1900-01-07,Astor House,,Dollars,$,complete,4.0 pages,489.0
93,24331,,[AMERICAN LINE TO MONTREAL],BREAKFAST,COMMERCIAL,AT SEA,CARD; ILLUS; 5.25 X 8.25;,,ILLUSTRATION OF SHIP; PRICED WINE LIST;,1898-212,,,1898-07-01,American Line To Montreal,,Dollars,$,complete,2.0 pages,43.0 dishes
94,24693,,AMEN CORNER AXE,DINNER,POL;,"FIFTH AVENUE HOTEL, [NEW YORK]",BOOKLET; 16 X 12,"OTHER, [SOC?];",CHAMPAGNES AND WINES LISTED;8 PAGE IRREVERANT NEWPAPER FORMAT;,1908-105,,,1908-02-01,Amen Corner Axe,,N/A,,complete,8.0 pages,26.0
95,32777,The Biltmore,[the biltmore],,,,28x18cm folded; 28x36cm opened,,National Hotel Men's Exposition,1917-0514_wotm,,,1917-11-17,The Biltmore,,Doller,$,complete,4.0 pages,164.0 dishes
96,28574,,Coffee House,,,,21.5x14cm folded; 21.5x28cm open,,,1957-0112_wotm,,,12/12/1957,Coffee House,,Dollars,$,complete,5.0 pages,69.0
97,26802,,Kaiserhof,,RESTAURANT,Kaiserhof,folder; 8 x 11.5 inches,, Dieter Zander Collection; prices are written in by hand. ,Zander 361,,,1976-04-11,Kaiserhof,,Deutsche Marks,DM,complete,4.0,76.0
98,23179,,[BIRMINGHAM ALUMNI ASSOCIATION OF THE UNIVERSITY OF THE SOUTH],banuqet,EDUC;,"BIRMINGHAM,ALABAMA",booklet;ribbon trim;5x7;,ANNUAL,LIST OF SPEAKERS & MEMBERS;,1906-781,,,1906-10-26,Birmingham Alumni Association Of The University Of The South,,None,,complete,8.0 pages,23.0 dishes
99,25791,,FREINDS OF WILLIAM CLAUSS,DINNER TO ABOVE,SOC;.?,"THE ST. NICHOLAS, CINCINNATI, OH",CARD; COL; ILLUS; 11/25 X 4/25;,COMPLIMENTARY/TESTIMONIAL,"MARTINIS AND WINES IWITH EACH COURSE; GRAY STOCK, PINK VELOUR CARNATIONS;",1908-106,,,1908-02-01,Freinds Of William Clauss,,,,complete,2.0,22.0 dishes
